# Block number	x	y	z	WCT (tonnes)	Moisture	DPT (tonnes)	RECOVERY	Pit name	SiO2	AL2O3	HAUL Distance (km)	"RESOURCE (0=LMB, 1=Mono Internal, 2 =Mono External"	Empty Haul (minutes)	Full Haul (minutes)			Starting row			
100	-10016	4863	25	9165	0.1300	5635	0.71	WTH2	0.11	0.52	3.28	2	8.2	7.5						
101	-9966	4863	25	8336	0.1299	5225	0.72	WTH2	0.11	0.52	3.33	2	6.9	7.4						
102	-9916	4863	25	9836	0.1300	6222	0.73	WTH2	0.11	0.52	3.39	2	7.9	7.4						
103	-9866	4863	25	10244	0.1301	6672	0.75	WTH2	0.11	0.52	3.44	2	8.6	9.2						
104	-9816	4863	25	10619	0.1300	6869	0.74	WTH2	0.11	0.53	3.50	2	9.0	7.5						
105	-9766	4863	25	11681	0.1299	7974	0.78	WTH2	0.10	0.53	3.55	2	8.7	9.1						
106	-9716	4863	25	15872	0.1301	9934	0.72	WTH2	0.08	0.55	3.55	2	9.4	8.4						
107	-9666	4863	25	15176	0.1301	9168	0.69	WTH2	0.09	0.55	3.57	2	7.2	8.1						
108	-9616	4863	25	16178	0.1300	10597	0.75	WTH2	0.09	0.55	3.62	2	8.2	10.8						
109	-9566	4863	25	17162	0.1300	11136	0.75	WTH2	0.09	0.56	3.67	2	7.7	7.8						
110	-9516	4863	25	13152	0.1300	8198	0.72	WTH2	0.08	0.56	3.70	1	9.8	9.9						
111	-9466	4863	25	6070	0.1299	3637	0.69	WTH2	0.12	0.54	3.76	2	8.7	10.1						
112	-10816	4813	25	6781	0.1300	4062	0.69	WTH2	0.06	0.59	2.58	2	6.4	6.0						
113	-10766	4813	25	3466	0.1300	2060	0.68	WTH2	0.09	0.55	2.60	2	5.3	7.8						
114	-10716	4813	25	4177	0.1302	2393	0.66	WTH2	0.13	0.54	2.64	2	6.4	7.9						
115	-10566	4813	25	12564	0.1300	8454	0.77	WTH2	0.11	0.55	3.14	2	7.1	7.5						
116	-10516	4813	25	18785	0.1300	12211	0.75	WTH2	0.09	0.57	3.09	2	6.0	8.1						
117	-10466	4813	25	23231	0.1300	15214	0.75	WTH2	0.09	0.57	3.04	2	6.9	6.9						
118	-10416	4813	25	24847	0.1300	17002	0.79	WTH2	0.09	0.56	2.99	2	8.1	8.2						
